"nceas_proj","nceas_obj_id","agency","lon","lat","project_title","filepath_gpc_atts","filepath_gpc_spatial","internal_id_name","internal_id","doc_id","comment","type","AREA_SQMI","E_TOTPOP","RPL_THEME1","RPL_THEME2","RPL_THEME3","RPL_THEME4","RPL_THEMES","CIscore","CIscoreP","protected_land","easement_site","percent_protected","flood_risk","terrest_ntv_species_count","aquatic_ntv_species_rank","terrest_connectivity_rank","terrest_hab_rank","aquatic_hab_rank","park_name","percent_park"
"proj_cdfw_7","cdfw1","cdfw",-121.6306,38.6761,"Reclamation District 2035/Woodland-Davis Clean Water Agency Joint Intake and Fish Screen","data/grant_program_coordinates/intermediate_steps//cdfw_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Number","P1696014","P1696014_RecDist2035_proposal.pdf","","cdfw6",23.8972578052,2132,0.721,0.4206,0.2602,0.4705,0.5676,56.34200068,93.44427635,NA,NA,38.4,"Special Flood Hazard Area (SFHA), high-risk area",218,5,4,4,4,NA,0
"proj_cdfw_5","cdfw2","cdfw",-121.62415,38.55354,"Yolo Bypass Wildlife Area Habitat and Drainage Improvement Project Permitting","data/grant_program_coordinates/intermediate_steps//cdfw_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Number","P1696009","P1696009_YBWADrainage_proposal.pdf","","cdfw6",134.694345645,4640,0.0743,0.3046,0.1761,0.3809,0.1671,14.47581806,24.26878467,"Yolo Bypass Wildlife Area",NA,36,"Special Flood Hazard Area (SFHA), high-risk area",220,4,3,4,5,NA,0
"proj_cdfw_2","cdfw3","cdfw",-122.02089,38.20252,"Rush Ranch Lower Spring Branch Creek and Suisun Hill Hollow Tidal Connections Project","data/grant_program_coordinates/intermediate_steps//cdfw_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Number","P1596027","P1596027_RushRanch_proposal.pdf","","cdfw6",81.96342832,7328,0.5946,0.7852,0.6064,0.8674,0.759,34.55599798,66.8179526,"Rush Ranch Open Space",NA,29.1,"Non-Special Flood Hazard Area, moderate- to low-risk area",235,4,5,4,4,NA,0
"proj_cdfw_9","cdfw5","cdfw",-122.5111716,38.02341088,"McInnis Marsh Restoration Project","data/grant_program_coordinates/intermediate_steps//cdfw_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Number","P1796014","Application Overview.pdf","folder with more detail","cdfw4",4.72712902573,4584,0.3947,0.4703,0.2204,0.9824,0.6301,20.31357788,38.26273323,"John F. McInnis County Park",NA,20.3,"Special Flood Hazard Area (SFHA), high-risk area",268,5,1,4,5,"John F. Mcinnis County Park",14.6
"proj_cdfw_10","cdfw6","cdfw",-122.5513911,38.14962083,"Burdell Unit Tidal Restoration Feasibility Study","data/grant_program_coordinates/intermediate_steps//cdfw_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Number","P1896014","646-Application Overview.pdf","folder with more detail","cdfw7",12.8106292239,2750,0.0725,0.136,0.0458,0.0094,0.0063,10.21712091,13.51487645,"Petaluma Marsh Wildlife Area",NA,45.2,"Special Flood Hazard Area (SFHA), high-risk area",253,5,2,5,5,NA,18.7
"proj_cdfw_4","cdfw7","cdfw",-121.62818,37.96083,"Knightsen Wetland Restoration and Flood Protection Project","data/grant_program_coordinates/intermediate_steps//cdfw_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Number","P1696007","P1696007_Knightsen_proposal.pdf","","cdfw6",14.8670856963,3064,0.1345,0.3442,0.1595,0.3124,0.1837,11.11284257,15.69591528,"Delta Access Regional Recreation Area",NA,21,"Special Flood Hazard Area (SFHA), high-risk area",207,5,1,3,5,NA,0
"proj_cdfw_8","cdfw8","cdfw",-122.0829248,38.02984398,"Lower Walnut Creek Restoration Project","data/grant_program_coordinates/intermediate_steps//cdfw_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Number","P1796013","36421 Application Overview.pdf","folder with more detail","cdfw4",5.70062653122,2999,0.4846,0.2502,0.28,0.1205,0.2632,37.68040536,71.59606657,NA,NA,11.4,"Special Flood Hazard Area (SFHA), high-risk area",248,5,5,3,5,NA,10.1
"proj_cdfw_6","cdfw9","cdfw",-122.13,37.564,"San Francisco Estuary Invasive Spartina Removal and Tidal Marsh Restoration Project","data/grant_program_coordinates/intermediate_steps//cdfw_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Number","P1696011","P1696011_SpartinaPhaseI_proposal.pdf","","cdfw6",28.087183041,7469,0.196,0.198,0.8252,0.2973,0.2615,23.05521689,44.65456379,"Don Edwards National Wildlife Refuge",NA,63.8,"Special Flood Hazard Area (SFHA), high-risk area",247,5,2,2,5,NA,63
"proj_cdfw_3","cdfw10","cdfw",-122.08591,37.44188,"South Bay Salt Pond Restoration Project Phase 2: Ravenswood and Mt. View Ponds","data/grant_program_coordinates/intermediate_steps//cdfw_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Number","P1696003","P1696003_SouthBaySaltPonds_proposal.pdf","","cdfw6",7.30844213217,1065,0.4507,0.4218,0.4741,0.3856,0.428,25.53925833,49.94957136,"Don Edwards National Wildlife Refuge",NA,59.5,"Special Flood Hazard Area (SFHA), high-risk area",271,5,2,3,5,"Don Edwards National Wildlife Refuge",60.4
"proj_cdfw_11","cdfw11","cdfw",-121.5091,38.12542,"Staten Island Multi-benefit Wetland Restoration Feasibility Study","data/grant_program_coordinates/intermediate_steps//cdfw_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Number","P1896053","P1896053_StatenIsland_proposal.pdf","","cdfw1",108.435127388,2128,0.858,0.9825,0.4354,0.7363,0.8952,44.20541083,81.10186586,"Staten Island","Staten Island Conservation Easement",27.1,"Special Flood Hazard Area (SFHA), high-risk area",218,5,4,3,4,NA,0.3
